"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
NL40,Q7-West,71 (ID assigned by authority),Netherlands,Cancelled,,Noord-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Eneco,Eneco Wind B.V. O&amp;M Base,,244.8,,Not Decided,,,,,,3.6,,68,,,,Grounded: Not Specified,,,,,,,,,,,20,23,,,35,36.63,9.9,32.1,52.5565,4.0582,North Sea,Europe,NO,,,,,Velsen,IJmuiden,,,,,,,,,,,,,,,,
CN8U,Qidong H1,江苏启东H1,China,Under Construction,Jiangsu Offshore Wind Project Plan Revised Report,"Jiangsu, Nantong, Qidong",,,"02 Jan 2021: Qidong H1, H2, and H3 offshore wind farms will each install an offshore substation.
From September 5, 2020 to January 2, 2021, limited to daytime.
Assignment: ""Three Sailing Style"", ""Hua Shen"", ""New Zhenfu 7""",29-May-2020,29-May-2020,06-Dec-2018,16-Jan-2019,,,,2020,250,High,,Jiangsu Huawei Wind Power,"Jiangsu Huawei Wind Power Co., Ltd. (江苏华威风力发电有限公司)",,250,,"Estimate: SE 6.25-172 (Shanghai Electric Wind Power Equipment Co., Ltd. (Sewind))",Yes,,SE 6.25-172,,,6.25,,42,,,172,Grounded: Monopile,20 x Monopile,"At least one foundation of the first bid package is a monopile - quantity estimated. The first measures 75m, weighing 930t. Diameter is 7.48 base, 6.5 meters top 930.56 tons",CNY 4600 million,4600,CNY,,,,,,5.2,13.6,6,13,32,31.17,7.51,35.99,32.1368,122.0389,East China Sea,Asia,NO,,,,,,,,,,,,,,,,61.5,35,"Length data from installer where Shanghai Kaibo stated that in total 197km for Qidong H1, H2, and H3. 4C estimated the distribution based on the capacity of each wind farm",,,,
CN8S,Qidong H2,江苏启东H2,China,Under Construction,Jiangsu Offshore Wind Project Plan Revised Report,"Jiangsu, Nantong, Qidong",,,"02 Jan 2021: Qidong H1, H2, and H3 offshore wind farms will each install an offshore substation.
From September 5, 2020 to January 2, 2021, limited to daytime.
Assignment: ""Three Sailing Style"", ""Hua Shen"", ""New Zhenfu 7""",29-May-2020,29-May-2020,06-Dec-2018,16-Jan-2019,,,,2020,250,High,,Jiangsu Huawei Wind Power,"Jiangsu Huawei Wind Power Co., Ltd. (江苏华威风力发电有限公司)",,250,,"Estimate: SE 6.25-172 (Shanghai Electric Wind Power Equipment Co., Ltd. (Sewind))",Yes,,SE 6.25-172,,,6.25,,42,,,172,Grounded: Not Specified,,,CNY 4600 million,4600,CNY,,,,,,7.8,12,13,15,40,38.08,7.75,29.55,32.1176,122.1556,East China Sea,Asia,NO,,,,,,,,,,,,,,,,61.5,35,"Length data from installer where Shanghai Kaibo stated that in total 197km for Qidong H1, H2, and H3. 4C estimated the distribution based on the capacity of each wind farm",,,,
CN8T,Qidong H3,"江苏启东H3
启东华尔锐H3#海上风电场项目",China,Under Construction,Jiangsu Province Offshore Wind Project Planning Revision Report,"Jiangsu, Nantong, Qidong",,,"02 Jan 2021: Qidong H1, H2, and H3 offshore wind farms will each install an offshore substation.
From September 5, 2020 to January 2, 2021, limited to daytime.
Assignment: ""Three Sailing Style"", ""Hua Shen"", ""New Zhenfu 7""",08-Aug-2020,08-Aug-2020,06-Dec-2018,16-Jan-2019,,,,2020,300,High,,Hua Er Rui Wind Power,"Hua Er Rui Wind Power Technology Co., Ltd. (华尔锐风电科技有限公司)",,300,,"Estimate: SE 6.25-172 (Shanghai Electric Wind Power Equipment Co., Ltd. (Sewind))",Yes,,SE 6.25-172,,,6.25,,48,,,172,Grounded: Not Specified,,,CNY 5500 million,5500,CNY,,,,,,11.2,14.4,13,15,37,35.76,7.75,41.36,32.0665,122.1639,East China Sea,Asia,NO,,,,,,,2,43.1,,220,,,,,Length from installer,74,35,"Length data from installer where Shanghai Kaibo stated that in total 197km for Qidong H1, H2, and H3. 4C estimated the distribution based on the capacity of each wind farm",,,,
CNC5,Qingdao Shenyuanhai Demonstration - Phase I,青岛深远海200万千瓦-一期,China,Development Zone,,"Shandong, Qingdao,","The city of Qingdao in collaboration with a Chinese wind turbine manufacturer, Zhongneng Fusion offshore wind Turbine Co., Ltd (山东中能融合海上风力发电机组有限公司总), plan to develop a 2 GW demonstration project integrating hydrogen production cells in floating wind foundation

On June 29, Qingdao Blue Valley held a project scheduling meeting. The project is planned to be developed in two phases. The first phase will develop 1 GW. It will focus on demonstrations of ""offshore wind + marine pasture"", floating foundation, long-distance power transmission, hydrogen production, and seawater desalination. The second phase will be based on the results and experience of the first phase.",,"29 Jun 2020: On the afternoon of June 29, Qingdao Blue Valley held a project scheduling meeting.

The project is planned to be developed in two phases. The first phase will develop 1 GW. It will focus on demonstrations of ""offshore wind + marine pasture"", floating foundation, long-distance power transmission, hydrogen production, and seawater desalination.

The first phase is scheduled to start construction in 2021 and reach full production in 2022.

The second phase will be based on the results and experience of the first phase.

At present, the Qingdao Blue Valley, Zhongneng, and China Power NorthWest have signed a cooperation agreement.",,,,,,,,2031,1000,Low,"In April 2020, Tonex signed a cooperation agreement with Quindao City and Power China Northwest Research Institute to develop a 2 GW project in two 1 GW phases, focused on demonstrating floating wind and hydrogen. Based on the progress of Tonex's 24 MW demonstrator, it is expected that this project will start offshore construction post-2030.",,,,1000,,Not Decided,,,,,,,,,,,,Floating: Semi-Spar,,,CNY 15000 million,15000,CNY,,,,,,,,30,30,70,,6.81,,35.8448,120.9756,East China Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
CND0,Qingdao Shenyuanhai Demonstration - Phase II,青岛深远海200万千瓦-二期,China,Development Zone,,"Shandong, Qingdao,","The city of Qingdao in collaboration with a Chinese wind turbine manufacturer, Zhongneng Fusion offshore wind Turbine Co., Ltd (山东中能融合海上风力发电机组有限公司总), plan to develop a 2 GW demonstration project integrating hydrogen production cells in floating wind foundation

On June 29, Qingdao Blue Valley held a project scheduling meeting. The project is planned to be developed in two phases. The first phase will develop 1 GW. It will focus on demonstrations of ""offshore wind + marine pasture"", floating foundation, long-distance power transmission, hydrogen production, and seawater desalination. The second phase will be based on the results and experience of the first phase.",,"29 Jun 2020: On the afternoon of June 29, Qingdao Blue Valley held a project scheduling meeting.

The project is planned to be developed in two phases. The first phase will develop 1 GW. It will focus on demonstrations of ""offshore wind + marine pasture"", floating foundation, long-distance power transmission, hydrogen production, and seawater desalination.

The first phase is scheduled to start construction in 2021 and reach full production in 2022.

The second phase will be based on the results and experience of the first phase.

At present, the Qingdao Blue Valley, Zhongneng, and China Power NorthWest have signed a cooperation agreement.",,,,,,,,2035,1000,Low,"In April 2020, Tonex signed a cooperation agreement with Quindao City and Power China Northwest Research Institute to develop a 2 GW project in two 1 GW phases, focused on demonstrating floating wind and hydrogen. The second phase is expected to enterl offshore construction post-2035.",,,,1000,,Not Decided,,,,,,,,,,,,Floating: Semi-Spar,,,CNY 15000 million,15000,CNY,,,,,,,,30,30,70,,6.81,,35.821,120.9768,East China Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
CN54,Quangang Shanyao offshore wind farm,泉港山腰海上风电场项目,China,Development Zone,,"Fujian, Quanzhou",,,"29 Jul 2014: Project planning on-going as outlined in ""Fujian offshore wind power planning and project progress"" review.",31-Dec-2035,31-Dec-2035,,,,,,2035,80,Low,"4C estimate the start based on fair reasons associating with the project development progress. This project is in development zone stage and was not allocated to any developers. Considering the current capacity under development, the project holds potentials competing capacity in the future after 2030 though price bidding auction.",,,,80,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,9,28,,,,,11.72,,24.7556,118.8162,South China Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
CN37,Quanzhou Bay offshore wind farm,泉州湾海上风电场项目,China,Concept/Early Planning,,"Fujian, Quanzhou",,,"29 Jul 2014: Project planning on-going as outlined in ""Fujian offshore wind power planning and project progress"" review.",31-Dec-2035,31-Dec-2035,,,,,,2035,150,Low,4C estimate the start based on fair reasons associating with the project development progress. This project was not authorized but went through some early stage of development in the early 2010s. The project seems like being paused at the moment but holds potentials to re-start in the future through new price bidding auctions.,,,,150,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,20,20,,,11.72,,24.7909,118.8461,South China Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
FI09,Raahe - Maanahkiaisen,,Finland,Concept/Early Planning,,Pohjois-Pohjanmaan maakunta - Raahe,Rotor diameter 100-125.,https://www.rajakiiri.fi/project/maanahkiaisen-merituulivoimapuisto-raahessa/,"01 Mar 2015: Project has begun process to obtain Water Permit, from Regional State Administrative Agency.",,,,,,,01-Jan-2024,,,,,Rajakiiri,Rajakiiri OY,,350,210,Not Decided,,,,,3,5,,70,162.5,100,125,Grounded: Not Specified,,,,,,,,,,,7.4,22,3,10,5,12.85,8.64,72.35,64.5796,24.0898,Gulf of Bothnia,Europe,NO,,,,,,Hurnasperä,,,,,,,,,,,,,,,,
UK18,Race Bank,ROW01,United Kingdom,Fully Commissioned,Round 2,"England, East of England","Race Bank will be part of Ofgem's Tender Round 5, expected to launch later in 2016, with regards to the sale of its offshore transmission assets once constructed. The park will be the first to implements Siemens 6.0MW platform with performance enhancing features delivering a capacity of 6.3MW.

Race Bank will comprise of 91 Siemens SWT-6.0-154 turbines with a power output of 6.3MW totalling 573.3MW installed capacity and with a Transmission Entry Capacity of 565MW at the Offshore Transmission Owner (OFTO) interface point. A figure of 548MW has been provided to NGET which is the value to be exported at the onshore boundary point. The difference between installed and connected capacity is attributed to WTG transformer and array cable losses.",https://orsted.co.uk/Generating-energy/Offshore-wind/Our-wind-farms,"20 Aug 2020: The Vessel Global Symphony will carry out String 1 cable replacement on Racebank, from around 20th August to 18 September. From 30 August, turbine D01 and E01 will not be operational until the replacement work completes.",29-Jun-2016,01-May-2016,23-Jan-2009,06-Jul-2012,24-Jun-2015,18-May-2017,01-Feb-2018,2016,573.3,High,,"Ørsted (50%), Macquarie (25%), Sumitomo (12.5%), Macquarie (12.5%)",Ørsted Power (UK) Ltd.,Ørsted (UK) Limited,573.3,,"SWT-6.0-154 (Siemens), Power mode enables capacity of 6.3MW",,,SWT-6.0-154,Power mode enables capacity of 6.3MW,,6.3,,91,187,110,154,Grounded: Monopile,91 x Monopile,"Average monopile weight of 503t, varying from 375-736t. The monopile foundations have a diameter of 6.75-7m, a length of 40-60m (location dependent), and a seabed penetration of 21-33m (location dependent). Transition pieces are 6-6.87m in diameter, 22m in height and weigh approximately 330 tonnes.",GBP 1700 million,1700,GBP,Renewables Obligation (RO) at 1.8 ROCs (Renewable Obligation Certificates)/MWh,Race Bank will receive a subsidy level of 1.8 ROC/MWh for a period of 19 years. Revenue is estimated using 2019-20 ROC buy-out price of £48.78/ROC and wholesale electricity price of £50/MWh.,GBP,137.8,156.24,6,23,6,24,27,33.79,9.12,62.36,53.2766,0.8414,"North Sea, Southern North Sea (Humber)",Europe,NO,Eemshaven (Orange Blue Terminal),Grimsby (Orsted O&M hub),2,,Walpole,Sutton bridge,2,71,6.3,220,,,,,"Two export cables measure 71km in length to the landfall and a 6.3km interlink exists between the two offshore substations. For the final 8km (approximately) a similar cable is utilised but with 1600mm2 aluminium conductors adopted across the landfall section to the transition pits.

Burial note: Along the Race Bank export cable route, the Deep Ocean T3200 trencher was used which is a tracked mechanical trencher with simultaneous jetting functionality.  In areas where soft soils exist, the T3200 encountered traction issues resulting in areas where manoeuvrability was restricted. In these areas a lightweight trencher was mobilised; however, the operation left areas of reduced cable burial and a requirement for remedial works.

The export cables are 268mm in diameter and have a weight of 108 kg/m. The maximum allowed tension in the cable is 286 kN with conservative engineering predicting maximum tension of about 240 kN whilst in reality tension up to 200 kN was measured.",106,36,91 inter-array cables connecting the turbines and offshore substations.,2,11.6,"Two 220kV onshore export cable systems, each comprising of 3x single-core 1400mm2 aluminium conductor XLPE-insulated cables installed in trefoil formation in ducts.",24
UK4F,Race Bank Extension,,United Kingdom,Concept/Early Planning,2017 Extension Opportunity,"England, East of England",The Race Bank Extension project was not selected to progress as part of the Crown Estate Offshore Wind Farm Extension process due to environmental impacts highlighted throughout the HRA process. Orsted are in ongoing discussions with The Crown Estate to explore next steps and the potential routes available to ensure that Race Bank Extension remains an option for the future.,,13 Dec 2019: Orsted are in ongoing discussions with The Crown Estate to explore next steps and the potential routes available to ensure that Race Bank Extension remains an option for the future.,,,,,,,,,,,,"Ørsted (70%), Macquarie (17.5%), Sumitomo (12.5%)",,,573,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,3.3,21.5,,,,34.75,9.14,100.88,53.2777,0.9277,"North Sea, Southern North Sea (Humber)",Europe,NO,,,,,,,,,,,,,,,,,,,,,,
US28,Radial Wind Farm,,United States,Dormant,,Wisconsin,"The Radial Wind Farm will be located in the Mid-Lake Plateau region of Lake Michigan. This feature is located in the centre and was undoubtedly an island on Lake Michigan during part of the time of the Lake Chippewa lowstand.

Project on hold until foundation technology for deeper waters improves,",,,,,,,,,,,,,,Radial,Radial Wind,,1950,,Not Decided,,,,,,5,,390,134,76,116,Grounded: Not Specified,,,,,,,,,,,,,,,30,,,,43.0399,-87.5364,Lake Michigan,North America,Yes,,,,,,,,,,,,,,,,,,,,,,
UK36,Rampion,"Hastings, Zone 6",United Kingdom,Fully Commissioned,Round 3,"England, South East","The maximum number of turbines was reduced from 195 to mitigate visual impacts.

E.ON has opted for ""Generator Build"" option for the offshore transmission assets. E.ON will employ a multicontract approach rather than turnkey/EPC.  Approx 20 ‘main’ Tier 1 contracts, but in practice could be 200+ other ancillary contracts over course of the project construction and operation.

July 2014 The Crown Estate invited all Round 3 developers to revise the terms of their agreement as the projects transition from zone appraisals to project development. This could mean that zone development agreements are replaced with project specific contractural agreements.

Rampion will be part of Ofgem's Tender Round 5, expected to launch later in 2016, with regards to the sale of its offshore transmission assets once constructed.",https://www.rampionoffshore.com/,"27 Nov 2020: Rampion’s current exemption (2019) is due to expire on 27 November 2020 by which point the transmission assets must be transferred to the OFTO.

In June the UK government proposed an exemption order for wind farm generators in tender rounds 5 and 6 of the offshore transmission owner (OFTO) regime, who have been affected by COVID-19 and are currently in the process of transferring assets between the wind farm developer and new OFTO company. in the UK developers/owners are allowed to own and operate the transmission systems for 18 months without a transmission license but after this ownership must be transferred to an OFTO company selected by Ofgem. Projects to be affected include Rampion, Beatrice, Hornsea One and East Anglia ONE offshore wind farms. The government considers that the Hornsea One, Rampion and Beatrice projects are likely to be unable to complete the transfer of transmission assets within the 18-month commissioning period and propose a 12 month extension. The government  also propose a three month extension for East Anglia ONE due to delays to the tender process and a likely knock on effect to the transfer of assets. A consultation on the proposal closes on 10th July.

Rampion has an existing exemption which expires on 27th November 2020 with the transmission assets due to be handed over to Transmission Capital Partners.  Rampion is experiencing delays due to the reduced availability of contractors, personnel and parts, suppliers from third parties and infection of individuals contributing to the development of the transfer. Works which were due to commence toward the beginning of “lockdown” have been delayed.  As with all the projects, financial uncertainty is also considered a risk.",25-Jan-2016,25-Jan-2016,25-Mar-2013,16-Jul-2014,18-May-2015,27-Nov-2017,30-Nov-2018,2016,400.2,High,,"RWE (50.1%), Macquarie (25%), Enbridge (24.9%)",E.ON Climate &amp; Renewables UK Rampion Offshore Wind Limited,,400.2,,V112-3.45 MW Offshore (MHI Vestas Offshore Wind),,,V112-3.45 MW Offshore,,,3.45,,116,140,80,112,Grounded: Monopile,116 x Monopile,"Monopile dimensions: diameter: 6.5 (5.75 at tip), 560t-820t, 60-85m long; Transition pieces: 250t",EUR 1900 million,1900,EUR,Renewables Obligation (RO) at 1.8 ROCs (Renewable Obligation Certificates)/MWh,Revenue is estimated using 2019-20 ROC buy-out price of £48.78/ROC and wholesale electricity price of £50/MWh.,GBP,137.8,156.24,19.2,39,19,40,13,16.94,,74.14,50.6704,-0.2757,English Channel  (Wight),Europe,NO,Vlissingen (foundations),Newhaven,1,,"400kV new-build substation at Twineham, adjacent to the existing Bolney substation.",East Worthing,2,16.5,,150,,,,,"At least 1m burial depth. A total of 2km of spare cable.

Burial Notes: During the first replacement export cable (Cable 3) installation, there was a malfunction with the cable lay pull ahead winch and the cables had to be surface laid onto the seabed. A combination of the Canyon I-trencher and Canyon T1200 was subsequently used for burial of this cable. The combination of jetting (T1200) and cutting (I-trencher) meant that even with changing seabed conditions the cable could be buried by a one vessel solution. There were no problems with standing bights witnessed, as the I-trencher does not lift the cable too high and an overlap was included past the competent material, so the bight could be buried by jet trencher.The second replacement export cable (Cable 4) was buried using a wheel-cutter by Assodivers.
During the cutting there was an issue with trench walls collapsing prior to the cable being lowered.
A jet trencher was subsequently successful used to lower the cable to the required depth within the
trench.",142,33,122 array cables,2,27,150kV,25
UK4E,Rampion 2,Rampion Extension,United Kingdom,Concept/Early Planning,2017 Extension Opportunity,"England, South East",,https://www.rampionoffshore.com/about/rampion2/; https://infrastructure.planninginspectorate.gov.uk/projects/south-east/rampion-2-offshore-wind-farm/?ipcsection=overview,01 Jan 2021: A formal consultation on the specific project design is scheduled to be held in 2021.,01-Jan-2025,01-Jan-2025,01-Jul-2021,,,,,2029,1200,Medium,"Scoping request submitted for 1.2 GW project in July 2020, with consent application expected Q3 2021. If consented it will qualify them to compete in an Allocation Round to compete for a CfD. Alternatively they may secure revenue through other means.","RWE (50.1%), Macquarie (25%), Enbridge (24.9%)",,,1200,,Not Decided,,,,,10,16,,116,325,,275,Grounded: Not Specified,,Likely to be monopiles or jackets,,,,,,,,,14.4,60,15,60,13,20.14,,280.96,50.6327,-0.366,English Channel (Wight),Europe,NO,,,,,"Bolney, Mid Sussex",,4,,,,,,,,"According to scoping report, up to four export cables of up to 275 kV and up to three offshore substations.",,,"According to scoping report, the project will use array cables of 33kV or 66kV (length dependent on number of turbines and distance between).",,36,"According to scoping report, up to four landfall sites with approximately 36 km onshore cable route, and a new onshore substation that will connect to the existing substation at Bolney, Mid Sussex",
SE30,Rata Storgrund - phase 1,,Sweden,Concept/Early Planning,,Robertsfors kommun,"Economics of offshore wind in Sweden is marginal at best. Costs need to come down, offshore wind specific incentives need to be introduced, or an export market developed through collaboration with another EU member state - such ""joint projects"" are being pursued by Sweden and will require the establishment of an MoU similar to that under negotiation between UK and Ireland.",http://www.rewindenergy.se/index.php?option=com_content&view=category&layout=blog&id=43&Itemid=72,"31 Jan 2017: Swedish Offshore Wind - National Strategy Update
With no sector specific support, offshore wind projects in Sweden have marginal economics at best and must compete with other renewables in a green certificate mechanism.

In August 2015 the Energy Agency, on behalf of the government, investigated what options were available for subsidising offshore wind should they decide to do so. A tender process similar to other European countries was proposed as being the most cost effective whilst also complying with EU State aid rules. Furthermore they suggested that, because of planning lead times, large scale projects under any such tender system would not see commissioning before 2024. The report advised that under such a scheme an expansion of offshore wind power of between 2250MW to 4500MW was credible by 2030. It was proposed that an earlier 'pilot tender' of 120MW could be operational by 2018.

However, with ample sites onshore along the southern coast the justification for supporting offshore wind has been questioned by many industry participants. The TSO, Svenska Kraftnat, in its 2016-2025 network development plan envisages no growth in offshore wind over the period, citing the economic challenges, and choosing not to investigate the implications of offshore wind grid penetration further.

There is some hope for advocates of offshore wind. In January 2016 the Energy Agency were once again charged with an investigative report, this time to analyse the potential for technology development and cost reduction of offshore wind over the next 15-25 years. The report, which will also address floating wind will consider the potential market size nationally and globally; an economic analysis ; energy and climate policy; innovation, business development, job creation, regional growth and export opportunities. The findings, published in 2017 concluded that sector-specific support for offshore wind in addition to the current certificate system is both uneconomical and unnecessary given available alternative renewable resources.",,,,,,,,,,,,Rewind Offshore,,,,,Not Decided,,,,,,,10,12,,,,Grounded: Rock-Anchored Concrete Rings,,Foundation consists of a stack of precast concrete rings placed on a level rock seafloor. These are then tied together by16 rods that go through all the rings and into rock.,,,,,,,,,2.9,20,,,,11.19,8.67,11.39,63.9968,21.1241,Gulf of Bothnia,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
SE29,Rata Storgrund - phase 2,,Sweden,Concept/Early Planning,,Robertsfors kommun,"Economics of offshore wind in Sweden is marginal at best. Costs need to come down, offshore wind specific incentives need to be introduced, or an export market developed through collaboration with another EU member state - such ""joint projects"" are being pursued by Sweden and will require the establishment of an MoU similar to that under negotiation between UK and Ireland.",http://www.rewindenergy.se/index.php?option=com_content&view=category&layout=blog&id=43&Itemid=72,"31 Jan 2017: Swedish Offshore Wind - National Strategy Update
With no sector specific support, offshore wind projects in Sweden have marginal economics at best and must compete with other renewables in a green certificate mechanism.

In August 2015 the Energy Agency, on behalf of the government, investigated what options were available for subsidising offshore wind should they decide to do so. A tender process similar to other European countries was proposed as being the most cost effective whilst also complying with EU State aid rules. Furthermore they suggested that, because of planning lead times, large scale projects under any such tender system would not see commissioning before 2024. The report advised that under such a scheme an expansion of offshore wind power of between 2250MW to 4500MW was credible by 2030. It was proposed that an earlier 'pilot tender' of 120MW could be operational by 2018.

However, with ample sites onshore along the southern coast the justification for supporting offshore wind has been questioned by many industry participants. The TSO, Svenska Kraftnat, in its 2016-2025 network development plan envisages no growth in offshore wind over the period, citing the economic challenges, and choosing not to investigate the implications of offshore wind grid penetration further.

There is some hope for advocates of offshore wind. In January 2016 the Energy Agency were once again charged with an investigative report, this time to analyse the potential for technology development and cost reduction of offshore wind over the next 15-25 years. The report, which will also address floating wind will consider the potential market size nationally and globally; an economic analysis ; energy and climate policy; innovation, business development, job creation, regional growth and export opportunities. The reported is to be delivered on 31 January 2017.",,,,,,,,,,,,Rewind Offshore,,,,,Not Decided,,,,,,,10,12,,,,Grounded: Rock-Anchored Concrete Rings,,Foundation consists of a stack of precast concrete rings placed on a level rock seafloor. These are then tied together by16 rods that go through all the rings and into rock.,,,,,,,,,2.9,27,,,,8.43,8.67,9.26,64.0759,21.1009,Gulf of Bothnia,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
DE2O,"ReaLCoE - Robust, Reliable and Large Offshore Wind Energy Converters for Clean, Low Cost and Competitive Electricity (Onshore)",,Germany,Concept/Early Planning,Demonstration (Onshore project),To Be Decidied,"ReaLCoE project, led by German turbine manufacturer Senvion, serves a strategic mission to develop the “Next Generation 10+MW rated, Robust, Reliable and Large Offshore Wind Energy Converters for Clean, Low Cost and Competitive Electricity”.
ReaLCoE’s vision is “to unleash the full potential of offshore wind energy to be in direct competition with conventional energy sources in electricity markets worldwide”. This project, awarded €25 million by the European Commission, turns this vision into reality through the vertical integration of the value chain, by moving from sequential to modular and parallel development, testing and certification while engaging in new forms of collaboration. Over the course of the project, the consortium will develop, install, demonstrate, operate and test a technology platform for the first prototype of a double-digit rated capacity turbine in a realistic offshore environment. 
Starting from 1 May 2018 and for the next three and a half years, Senvion will lead the implementation of ReaLCoE, a pan-European R&D project funded by the European Commission within the Horizon 2020 program. The team gathered around Senvion includes 14 major stakeholders (8.2 Consulting AG, ABB AB, BIBA – Bremer Institut für Produktion und Logistik GmbH, DNV GL Denmark A/S, EnBW Energie Baden-Württemberg AG, ECN part of TNO, Fraunhofer Gesellschaft zur Förderung der angewandten Forschung e.V., Ingeteam Power Technology SA, Jan De Nul NV, Jörss-Blunck-Ordemann GmbH, Wood, Principle Power Portugal LDA, Danmarks Tekniske Universitet, Uptime Engineering GmbH) along the complete value chain of the offshore wind energy sector and will become a front-runner in the development of next generation offshore wind turbines with double-digit rated electric capacities, triggering hundreds of millions of investments into the European clean tech sector.

During this research project, Principle Power will be responsible for the FEED of the WindFloat foundation matching research's objectives. It is estimated that the project's team will conduct basin tests to prove the concept's offshore suitability, performance and economic viability.",https://www.realcoe.eu/,"01 Jan 2021: Starting from 1 May 2018 and for the next three and a half years, Senvion will lead the implementation of ReaLCoE, a pan-European R&D project funded by the European Commission within the Horizon 2020 program. The successful prototype operation is succeeded by the installation of a pre-series array in a real offshore environment by 2021, which will validate the developed concept",,,,,,,01-Jan-2021,,,,,"Senvion, ABB, EnBW, Jan de Nul Group, DTU Wind Energy, Department of Wind Energy, Technical University of Denmark, 8.2 Consulting, DNV GL, ECN, IngeteamPower Technology, Wood Group, Principle Power, Uptime Engineering, JÖRSS – BLUNCK – ORDEMANN, Fraunhofer Institute, BibA",,,,,Not Decided,,,,,,,,,,,,Floating: Semi-Submersible Platform - Steel,,A FEED of the WindFloat concept will be contacted during this research project. There are no plans to develop a floating structure for offshore deployment.,EUR 32.31 million,32.31,EUR,,,,,,,,,,,,,,54.1513,11.9555,To Be Decided,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
US1N,Maine Aqua Ventus III,Maine Aqua Ventus,United States,Concept/Early Planning,,Maine,"As part of Maine state's 3 phase floating offshore wind farms, this is the third phase.",http://www.maineaquaventus.com/,"11 Mar 2020: Maine's governor, Janet Mills, announced the Port Infrastructure and Market Potential Assessment, led by the Maine Department of Transportation, which is assessing Mack Point Terminal in Searsport to support renewables. Aqua Ventus 1 is planning to use Mack Point Terminal for hull assembly, though this needs approval.",01-Jan-2032,01-Jan-2032,,,,,,2032,450,Low,MAINE: The State has ambitions for large-scale commercialisation of floating offshore wind. This project serves as a placeholder for the second commercial scale development which could follow on from a successful Aqua Ventus demo.,,University of Maine,,450,,Not Decided,,,,,,,,,,,,Floating: Semi-Submersible Platform - Concrete,,VolturnUS floating platform,,,,,,,,,,,,,,,,,43.6773,-69.3244,Atlantic Ocean,North America,Yes,,,,,,,,,,,,,,,,,,,,,,
LT09,Renerga,"UAB ""Renerga"" Baltijos jūros Lietuvos",Lithuania,Failed Proposal,,Klaipeda,,,"22 Jun 2020: A Government Resolution has passed, defining a 137.5km2 area to be used for a 700 MW tender in 2023. Offshore wind projects may not be developed outside of this area.",,,01-Jan-2015,,,,,,,,,Renerga,UAB Renerga,,300,,Not Decided,,,,,,,,38,,,,Grounded: Not Specified,,,,,,,,,,,40,47,,,19,35.15,9.08,52.93,55.8426,20.4871,Baltic Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
NO26,Rennesøy - Marine Energy Test Centre(Metcentre),Demonstrasjonsanlegg for offshore vindkraft utenfor Rennesøy,Norway,Consent Authorised,Demonstration - Hub (NO),Rogaland,"The plan is to build a 2 to 4 turbine demonstration site using GE Energy's new direct drive 4MW turbines. Area(s) to be chosen from Rennesøy, Kvitsøy and Karmøy",http://metcentre.no/,"07 Feb 2016: Rogaland county is promoting the Marin Energi Testsenter to be adopted as National testing Centre, for offshore wind, by the Norwegian government.",,,23-Apr-2010,30-Jun-2010,,,,,,,,"Equinor (35%), Rogaland County (35%), Haugaland Kraft (13%), Karmøy Kommune (8%), Polytec (5%), Utsira Kommune (1.34%), Haugaland Kraft (1.33%), Rogaland Ressurssenter (1.33%)","METCentre - Marine Energy Test Centre, Norway",,10,,Not Decided,,,,,,,,2,,,,Grounded: Not Specified,,,NOK 310 million,310,NOK,,,,,,,55,20,40,1,4.73,10.46,1.2,59.0627,5.6121,North Sea,Europe,NO,,,,,Randaberg,Mekjarvik,1,4,,22,,,,,,,,,,,,5
